[2025-08-01 17:34:25.407] [INFO] app.log file deleted successfully
[2025-08-01 17:34:25.407] [INFO] Trade counter reset successfully
[2025-08-01 17:34:25.407] [INFO] Initialized 6 symbols in database
[2025-08-01 17:34:27.632] [DEBUG] A key detected and service is enabled
[2025-08-01 17:34:27.632] [DEBUG] A key pressed - starting inclined pattern capture
[2025-08-01 17:34:27.633] [DEBUG] SimpleTradingOverlay.OnAKeyPressed() called
[2025-08-01 17:34:27.633] [INFO] A key pressed - starting inclined trading pattern creation
[2025-08-01 17:34:27.633] [INFO] Started inclined trading pattern creation for window 852876 (symbol: XAUUSD)
[2025-08-01 17:34:27.850] [INFO] First click recorded at (1609, 401)
[2025-08-01 17:34:28.434] [INFO] Second click recorded at (1687, 338)
[2025-08-01 17:34:28.435] [INFO] Current window handle: 852876
[2025-08-01 17:34:28.435] [INFO] Window rect: Left=0, Top=0, Right=1920, Bottom=1039
[2025-08-01 17:34:28.514] [DEBUG] RectangleBreakDetector: Alternative - Column X=107: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.514] [DEBUG] RectangleBreakDetector: Alternative - Column X=106: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.514] [DEBUG] RectangleBreakDetector: Alternative - Column X=105: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.514] [DEBUG] RectangleBreakDetector: Alternative - Column X=104: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.514] [DEBUG] RectangleBreakDetector: Alternative - Column X=103: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.515] [DEBUG] RectangleBreakDetector: Alternative - Column X=102: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.515] [DEBUG] RectangleBreakDetector: Alternative - Column X=101: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.515] [DEBUG] RectangleBreakDetector: Alternative - Column X=100: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.515] [DEBUG] RectangleBreakDetector: Alternative - Column X=99: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.515] [DEBUG] RectangleBreakDetector: Alternative - Column X=98: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.516] [DEBUG] RectangleBreakDetector: Alternative - Column X=97: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.516] [DEBUG] RectangleBreakDetector: Alternative - Column X=96: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.516] [DEBUG] RectangleBreakDetector: Alternative - Column X=95: whitePixels=1, whiteSegments=1
[2025-08-01 17:34:28.516] [DEBUG] RectangleBreakDetector: Alternative - Column X=94: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.516] [DEBUG] RectangleBreakDetector: Alternative - Column X=93: whitePixels=5, whiteSegments=1
[2025-08-01 17:34:28.517] [DEBUG] RectangleBreakDetector: Alternative - Column X=92: whitePixels=4, whiteSegments=1
[2025-08-01 17:34:28.517] [DEBUG] RectangleBreakDetector: Alternative - Column X=91: whitePixels=4, whiteSegments=1
[2025-08-01 17:34:28.517] [DEBUG] RectangleBreakDetector: Alternative - Column X=90: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.517] [DEBUG] RectangleBreakDetector: Alternative - Column X=89: whitePixels=2, whiteSegments=1
[2025-08-01 17:34:28.518] [DEBUG] RectangleBreakDetector: Alternative - Column X=88: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.518] [DEBUG] RectangleBreakDetector: Alternative - Column X=87: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.518] [DEBUG] RectangleBreakDetector: Alternative - Column X=86: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.518] [DEBUG] RectangleBreakDetector: Alternative - Column X=85: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.518] [DEBUG] RectangleBreakDetector: Alternative - Column X=84: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.519] [DEBUG] RectangleBreakDetector: Alternative - Column X=83: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.519] [DEBUG] RectangleBreakDetector: Alternative - Column X=82: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.519] [DEBUG] RectangleBreakDetector: Alternative - Column X=81: whitePixels=2, whiteSegments=1
[2025-08-01 17:34:28.519] [DEBUG] RectangleBreakDetector: Alternative - Column X=80: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.519] [DEBUG] RectangleBreakDetector: Alternative - Column X=79: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.520] [DEBUG] RectangleBreakDetector: Alternative - Column X=78: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.520] [DEBUG] RectangleBreakDetector: Alternative - Column X=77: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.520] [DEBUG] RectangleBreakDetector: Alternative - Column X=76: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.520] [DEBUG] RectangleBreakDetector: Alternative - Column X=75: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.520] [DEBUG] RectangleBreakDetector: Alternative - Column X=74: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.521] [DEBUG] RectangleBreakDetector: Alternative - Column X=73: whitePixels=2, whiteSegments=1
[2025-08-01 17:34:28.521] [DEBUG] RectangleBreakDetector: Alternative - Column X=72: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.521] [DEBUG] RectangleBreakDetector: Alternative - Column X=71: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.521] [DEBUG] RectangleBreakDetector: Alternative - Column X=70: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.521] [DEBUG] RectangleBreakDetector: Alternative - Column X=69: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.521] [DEBUG] RectangleBreakDetector: Alternative - Column X=68: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.522] [DEBUG] RectangleBreakDetector: Alternative - Column X=67: whitePixels=3, whiteSegments=1
[2025-08-01 17:34:28.522] [DEBUG] RectangleBreakDetector: Alternative - Column X=66: whitePixels=3, whiteSegments=1
